artwork_id,artwork_title,artwork_author,artwork_locale,artwork_link,artwork_price,artwork_description
ada3dace15444fe5af4f3ee738d3db69,Any Questions?,A 5533 Project by Nancy Atakan and Volkan Aslan,2014,https://www.artsy.net/artwork/a-5533-project-by-nancy-atakan-and-volkan-aslan-any-questions,,"""Any Questions?"" shows five people scribbling questions on a found blackboard retrieved from the storage area of the Istanbul art space, 5533. Sentences written on the board refer to the questions raised in different projects organized by the artist initiative over the last two years. The issues range from the binary of 'artist's initiative versus institution' to what defines periphery in Istanbul. In the video, the more actors come in and out of camera range and switch places to fill the board with their questions, the more illegible the questions become. This simple gesture opens up speculation about how the initiative works and the variable stance of artists, curators and even spectators who interact in the space. Actors include artists and curators who work with 5533 in 2014: Ali Taptık, Merve Ünsal, Nancy Atakan, Özden Demir, Özge Ersoy, and Volkan Aslan.
Read less"
2fce7469f1b24ad8afdc91a97de62813,Catastrophe,A. A. Raiba,1967,https://www.artsy.net/artwork/a-a-raiba-catastrophe,Contact for price,
d070c5cbadbf4857be58bb9706cee988,Untitled,A. A. Raiba,Untitled,https://www.artsy.net/artwork/a-a-raiba-untitled-7,,
9bc6559dd8ad4bb6bb4580a1a43e00e5,Untitled,A. A. Raiba,1958,https://www.artsy.net/artwork/a-a-raiba-untitled-8,Contact for price,
41057fe359e44f3986106d543f2aa0b9,Untitled,A. A. Raiba,1958,https://www.artsy.net/artwork/a-a-raiba-untitled-9,Contact for price,
b6ec84c22d7b4cae9a4a87769734fb70,Untitled,Edmone A. Ades,Mid 20th Century,https://www.artsy.net/artwork/edmone-a-ades-untitled,£310,"Edmone A. Ades - Etching and Drypoint by Edmone A. Ades - Mid 20th Century.
Image dimensions: 9.8 x 14.4 cm.
Les Quais de la Seine is a black and white print realized by Edmone A. Ades in the First Half 20th Century.
Etching and drypoint.
The artwork represents a view of the river Seine.
Hand-signed and titled on the lower margin.
Good conditions except for some little foxings.
Read less"
d30f201fe141460db2efa4aecbdd4b10,Landscape,Edmone A. Ades,Mid 20th Century,https://www.artsy.net/artwork/edmone-a-ades-landscape,£260,"Landscape - Etching and Drypoint by Edmone A. Ades - Mid 20th Century.
Landscape is a black and white print realized by Edmone A. Ades in the First Half 20th Century.
Etching and drypoint.
The artwork represents a landscape. Hand-signed on the lower margin. Numbered on the lower left. Edition of 47/90.
Good conditions except for some little foxings.
Read less"
f8cebce5112e40919e31c24c5f19d8c8,Musicians,A. A. Almelkar,1960,https://www.artsy.net/artwork/a-a-almelkar-musicians,Contact for price,
c0eeeaa5f2a841278918836610ba8e69,Untitled,A. A. Almelkar,1978,https://www.artsy.net/artwork/a-a-almelkar-untitled-5,Sold,"Drawing in a stylized manner, background with a lot of details and elements of folk tradition, here the Almelkar has captured a tribal woman heading toward the forest with an axe and some food. This representation gives us a glimpse of the remote lives of tribes and their interdependence on the forest. Both harmonious and playful use of warm and cool colours has the power to fill the viewer with elation.
Read less"
b92c8abf00044138b8f23e593ff7202b,"Francois Auberal, Michael Butor",Denise A. Aubertin,1975,https://www.artsy.net/artwork/denise-a-aubertin-francois-auberal-michael-butor,"US$1,250",
